lineup_id,lineup_names,team,games_played,min,off_rating,def_rating,net_rating,ast_pct,oreb_pct,dreb_pct,reb_pct,tov_pct,efg_pct,ts_pct,pace,pie,possessions,season
-1628386-1629636-1629731-1630171-1630241-,J. Allen - D. Garland - D. Wade - I. Okoro - S. Merrill,CLE,11,27.0,111.1,80.4,30.8,0.478,0.4,0.84,0.6,0.13,0.49,0.532,99.25,0.612,54,2024-25
-203924-1629014-1630166-1631101-1641739-,J. Grant - A. Simons - D. Avdija - S. Sharpe - T. Camara,POR,9,27.0,120.0,119.6,0.4,0.412,0.211,0.63,0.457,0.164,0.618,0.712,97.21,0.469,55,2024-25
-201935-203992-1627739-1627826-1629599-,J. Harden - B. Bogdanović - K. Dunn - I. Zubac - A. Coffey,LAC,7,27.0,121.7,123.6,-2.0,0.636,0.292,0.64,0.469,0.15,0.589,0.668,101.51,0.544,60,2024-25
-201950-1627759-1628369-1628401-1629674-,J. Holiday - J. Brown - J. Tatum - D. White - N. Queta,BOS,6,27.0,105.1,103.3,1.8,0.632,0.179,0.815,0.491,0.119,0.5,0.566,108.65,0.498,59,2024-25
-202685-1628398-1629673-1630557-1641731-,J. Valančiūnas - K. Kuzma - J. Poole - C. Kispert - B. Coulibaly,WAS,11,27.0,114.1,101.6,12.4,0.556,0.469,0.844,0.656,0.188,0.543,0.577,111.59,0.535,64,2024-25
-201142-203078-203486-1626164-1642346-,K. Durant - B. Beal - M. Plumlee - D. Booker - R. Dunn,PHX,7,27.0,96.6,106.5,-9.8,0.739,0.2,0.833,0.492,0.085,0.466,0.477,106.8,0.427,59,2024-25
-201142-203078-203486-1626145-1628960-,K. Durant - B. Beal - M. Plumlee - T. Jones - G. Allen,PHX,8,27.0,100.0,119.0,-19.0,0.696,0.227,0.875,0.565,0.217,0.6,0.613,103.67,0.457,60,2024-25
-201142-203078-1626145-1626164-1630208-,K. Durant - B. Beal - T. Jones - D. Booker - N. Richards,PHX,6,27.0,91.9,88.9,3.0,0.696,0.154,0.839,0.526,0.21,0.541,0.561,110.77,0.491,62,2024-25
-202681-202691-1629023-1629655-1630230-,K. Irving - K. Thompson - P. Washington - D. Gafford - N. Marshall,DAL,8,27.0,129.8,110.5,19.3,0.615,0.5,0.679,0.596,0.175,0.633,0.655,101.5,0.586,57,2024-25
-202681-202691-1629023-1629655-1629656-,K. Irving - K. Thompson - P. Washington - D. Gafford - Q. Grimes,DAL,9,27.0,108.2,136.7,-28.5,0.52,0.286,0.556,0.423,0.115,0.491,0.521,109.37,0.363,61,2024-25
-202691-203915-203939-1630230-1631108-,K. Thompson - S. Dinwiddie - D. Powell - N. Marshall - M. Christie,DAL,8,27.0,100.0,143.3,-43.3,0.708,0.303,0.636,0.436,0.119,0.473,0.5,106.17,0.347,59,2024-25
